MODEL,SEED,ClimateInsurance,AVG ClimateInsurance,CDPCities,AVG CDPCities,ClimateText,AVG ClimateText,ClimateStance,AVG ClimateStance,ClimateEng,AVG ClimateEng,SciDCC,AVG SciDCC,ClimateFEVER,AVG ClimateFEVER,,TOTAL AVG
CliReBERT,0,"0,81008","0,813036","0,61758","0,618628","0,85294","0,841904","0,50522","0,502296","0,68403","0,66043","0,53143","0,533254","0,60393","0,611746",,"0,654470571428571"
,42,"0,81912",,"0,63117",,"0,84993",,"0,53727",,"0,66802",,"0,52858",,"0,63039",,,
,3012,"0,81279",,"0,61601",,"0,83264",,"0,48686",,"0,6612",,"0,52618",,"0,61991",,,
,33,"0,81765",,"0,6114",,"0,84635",,"0,49919",,"0,65046",,"0,53709",,"0,60535",,,
,131,"0,80554",,"0,61698",,"0,82766",,"0,48294",,"0,63844",,"0,54299",,"0,59915",,,
,,,,,,,,,,,,,,,,,
CliSciBERT,0,"0,80804","0,80111","0,64601","0,654746","0,72418","0,749344","0,39724","0,419006","0,49463","0,486436","0,51102","0,51926","0,59202","0,605228",,"0,605018571428571"
,42,"0,81037",,"0,65853",,"0,72604",,"0,44865",,"0,46584",,"0,51688",,"0,60663",,,
,3012,"0,7899",,"0,65504",,"0,78029",,"0,36564",,"0,50041",,"0,52005",,"0,60703",,,
,33,"0,79412",,"0,65707",,"0,79138",,"0,44955",,"0,51799",,"0,52755",,"0,61137",,,
,131,"0,80312",,"0,65708",,"0,72483",,"0,43395",,"0,45331",,"0,5208",,"0,60909",,,
,,,,,,,,,,,,,,,,,
SciBERT,0,"0,81558","0,813474","0,64993","0,641682","0,762","0,740012","0,42963","0,396988","0,14823","0,42111","0,50879","0,517484","0,63474","0,620854",,"0,593086285714286"
,42,"0,80076",,"0,64345",,"0,77744",,"0,29688",,"0,48661",,"0,5145",,"0,6106",,,
,3012,"0,81067",,"0,63309",,"0,75598",,"0,48249",,"0,51969",,"0,53006",,"0,63278",,,
,33,"0,81291",,"0,64839",,"0,71144",,"0,45048",,"0,47554",,"0,51381",,"0,6214",,,
,131,"0,82745",,"0,63355",,"0,6932",,"0,32546",,"0,47548",,"0,52026",,"0,60475",,,
,,,,,,,,,,,,,,,,,
SciClimateBERT,0,"0,79678","0,798246","0,64661","0,646258","0,75386","0,756376","0,42676","0,40604","0,34624","0,300726","0,5114","0,525592","0,61372","0,614822",,"0,578294285714286"
,42,"0,80778",,"0,64485",,"0,76251",,"0,40129",,"0,30035",,"0,53345",,"0,59673",,,
,3012,"0,79204",,"0,64797",,"0,77588",,"0,39081",,"0,25113",,"0,51613",,"0,61961",,,
,33,"0,80795",,"0,64493",,"0,73558",,"0,43997",,"0,27081",,"0,55358",,"0,62193",,,
,131,"0,78668",,"0,64693",,"0,75405",,"0,37137",,"0,3351",,"0,5134",,"0,62212",,,
,,,,,,,,,,,,,,,,,
ClimateBERT,0,"0,80349","0,8195","0,6437","0,64207","0,73648","0,730964","0,45742","0,524282","0,38746","0,645138","0,51501","0,52058","0,63684","0,623046",,"0,643654285714286"
,42,"0,8234",,"0,6429",,"0,72718",,"0,5209",,"0,69715",,"0,52265",,"0,62135",,,
,3012,"0,82172",,"0,64213",,"0,71512",,"0,52459",,"0,71876",,"0,53132",,"0,61207",,,
,33,"0,82356",,"0,63933",,"0,73147",,"0,56724",,"0,69291",,"0,51969",,"0,61965",,,
,131,"0,82533",,"0,64229",,"0,74457",,"0,55126",,"0,72941",,"0,51423",,"0,62532",,,
,,,,,,,,,,,,,,,,,
BERT,0,"0,77742","0,803526","0,64203","0,64418","0,78978","0,829878","0,4145","0,425756","0,49939","0,439122","0,50398","0,52698","0,63142","0,627818",,"0,613894285714286"
,42,"0,80274",,"0,6363",,"0,85561",,"0,43412",,"0,47576",,"0,52918",,"0,62042",,,
,3012,"0,81776",,"0,64719",,"0,83547",,"0,43146",,"0,45137",,"0,53143",,"0,64217",,,
,33,"0,80548",,"0,64395",,"0,83829",,"0,4141",,"0,36548",,"0,53787",,"0,60979",,,
,131,"0,81423",,"0,65143",,"0,83024",,"0,4346",,"0,40361",,"0,53244",,"0,63529",,,
,,,,,,,,,,,,,,,,,
RoBERTa,0,"0,82099","0,79432","0,65758","0,655098","0,46686","0,686196","0,50554","0,395082","0,72768","0,323328","0,52817","0,525482","0,64278","0,637612",,"0,573874"
,42,"0,80361",,"0,65364",,"0,75463",,"0,29688",,"0,20265",,"0,50946",,"0,66004",,,
,3012,"0,8085",,"0,65084",,"0,77728",,"0,44515",,"0,30931",,"0,53465",,"0,62338",,,
,33,"0,75578",,"0,65856",,"0,67972",,"0,29688",,"0,1996",,"0,52196",,"0,63945",,,
,131,"0,78272",,"0,65487",,"0,75249",,"0,43096",,"0,1774",,"0,53317",,"0,62241",,,
,,,,,,,,,,,,,,,,,
DistilRoBERTa,0,"0,80923","0,802108","0,63154","0,638528","0,73073","0,73669","0,41044","0,411152","0,39413","0,353162","0,52411","0,527618","0,62852","0,615284",,"0,583506"
,42,"0,81666",,"0,63908",,"0,77104",,"0,39398",,"0,3961",,"0,52253",,"0,62707",,,
,3012,"0,80759",,"0,64965",,"0,72394",,"0,40473",,"0,35514",,"0,52899",,"0,61541",,,
,33,"0,79403",,"0,63255",,"0,77455",,"0,40612",,"0,34714",,"0,52205",,"0,61302",,,
,131,"0,78303",,"0,63982",,"0,68319",,"0,44049",,"0,2733",,"0,54041",,"0,5924",,,
